manufacturer;name;intercept;coef;test
Xiamen WIZ Biotech Co., Ltd.;Wizbiotech SARS‐ CoV‐2 Antigen Rapid Test;24.511917071174608;-0.9836108386645599;24.920340553032368
ACON Biotech (Hangzhou) Co., Ltd;Flowflex SARS‐CoV 2‐ Antigenschnelltest (Nasopharynxtupf er);41.65033115520028;-1.6766349312559359;24.84162197670592
Guangdong Hecin Scientific,Inc.;2019‐nCoV Antigen Test Kit (colloidal gold method);16.199349057730327;-0.6617071053888617;24.481147211212953
NanoEntek Inc.;FrendTM COVID-19 Ag;24.861973544328702;-1.00711491173808;24.68633246768423
Salofa OY;salocor SARS‐CoV‐ 2 Antigen Rapid Test Cassette (Nasopharyngeal swab);21.304905619984943;-0.8652314647121981;24.623359746945393
Shenzhen Zhenrui Biotech co.Ltd.;Zhenrui COVID‐19 (SARS‐COV‐2) Antigen Test Kits;24.646598110704122;-0.9985234277658875;24.68304440873142
Amazing Biotech (Shanghai) Co., Ltd;CoroVisio Covid‐ 19 Ag Versieglungsröhrc hen Teststreifen (Kolloidales Gold);20.548177577647483;-0.8528485419688709;24.09358352212261
Guangzhou Wondfo Biotech Co. Ltd;Wondfo SARS‐CoV 2 Antigen Test (Lateral Flow Method);41.871587040468256;-1.719139590183851;24.356129821889773
Medicon Co., Ltd.;Trueline COVID‐19 Ag Rapid Test;23.17742493493449;-1.0071353994308978;23.013216443420976
VivaChek Biotech (Hangzhou) Co,Ltd.;VivaDiag Pro SARS‐ CoV‐2 Ag Rapid Test;36.01989370002354;-1.5564576553933631;23.142225280083345
Hangzhou Realy Tech Co., Ltd.;Novel Coronavirus (SARS‐Cov‐2) Antigen Rapid Test Cassette (swab);30.997986617334213;-1.3594865606939759;22.801245347736796
Mexacare GmbH Heidelberg;COVID‐19 Antigen Schnelltest;13.456861588751083;-0.6049638717676853;22.244074756779376
Hangzhou Genesis Biocontrol Co., Ltd;KaiBiLi COVID‐19 Antigen Rapid Test Device;32.69079067251719;-1.453568567920828;22.490023101750072
Inzek International Trading;Biozek medical COVID‐19 Antigen Rapid Test Cassette;31.110911650532902;-1.3841069497258875;22.477245459026268
Joysbio (Tianjin) Biotechnology Co., Ltd.;Joysbio SARS‐CoV‐ 2 Antigen Rapid Test Kit (Colloidal Gold);20.80371491353975;-0.9328037054667604;22.302350206820734
SureScreen Diagnostics Ltd;COVID‐19 Antigen Rapid Test Cassette;37.78418963054993;-1.677807641320154;22.51997708200929
W.H.P.M, Inc;First SIGN SARS‐ CoV‐2 Antigen Test;28.292595064766488;-1.2800382490749531;22.10292941262711
nal von minden GmbH;dedicio Medical Test COVID‐19 Ag plus Test;24.919923355125878;-1.1717502593950953;21.267265063794863
Certest Biotec S. L.;CerTest SARS‐CoV‐ 2;23.020516123872746;-1.1083674829180554;20.769750537308674
Hangzhou Biotest Biotech Co., Ltd.;Lumiratek SARS‐ CoV‐2 Antigen Rapid Test Cassette;31.79279627322031;-1.51939016341071;20.92470850400413
Spring Healthcare Services SP zoo;SARS‐Cov‐2 Antigen Rapid Test Cassette (swab);31.79279627322031;-1.51939016341071;20.92470850400413
Aikang Diagnostics Co., Ltd.;SARS‐CoV‐2 Antigen Test Kit (Immunochromato graphy);22.640512802938108;-1.197550287652738;18.90568858474805
Xiamen Zhongsheng Langjie Biotechnology Co., Ltd;Covid‐19 Antigen Test Cassette;22.640512802938108;-1.197550287652738;18.90568858474805
